organisation,full name,status,area served,country,type,purpose,founder,leader,members,headquarters,appears_books,appears_games
Redanian Secret Service,Redanian Secret Service,Extant,Redania,Redania,['Secret service'],['Spying'],['Casimir de Lauterpacht'],"['Sigismund Dijkstra', 'Erik Demartin']",,['Oxenfurt'],"['Blood of Elves', 'Time of Contempt', 'Baptism of Fire', 'The Tower of the Swallow', 'The Lady of the Lake']",['Gwent: The Witcher Card Game']
Codringher and Fenn,Codringher and Fenn,Extinct,,Temeria,['Detective agency Law firm'],,"['Codringher', 'Jacob Fenn']",,,,"['Time of Contempt', 'Baptism of Fire']",['The Witcher']
Chapter of the Gift and the Art,Chapter of the Gift and the Art,Extinct,,,['Inner circle of mages'],['sets rules and regulations for all magic in the Northern Kingdoms'],,,,['Mirthe'],"['Blood of Elves', 'Time of Contempt', 'Baptism of Fire']",['Gwent: The Witcher Card Game']
Skellen's gang,Stefan Skellen's gang,Dissolved,Ebbing,,['Gang'],"['Capture Ciri and kill Vilgefortz']",['Stefan Skellen'],['Stefan Skellen'],,['Fort Rocayne'],"['Time of Contempt', 'The Tower of the Swallow']",
Wolf School,School of the Wolf,Extinct,Continent,,['Witcher school'],,,"['Byrnjolf', 'Deglan', 'Vesemir', 'Eskel']","['Geralt of Rivia', 'Eskel', 'Lambert']",['Kaer Morhen'],"['The Last Wish', 'Blood of Elves']","['The Witcher', 'The Witcher 3: Wild Hunt']"
Syndicate,Syndicate,,Originally,,['Crime organization'],['Mutual profit'],['Sigismund Dijkstra'],,['Azar Javed Jacques de Aldersberg Walter Veritas'],,,['Gwent: The Witcher Card Game']
Kaedwenian Secret Service,Kaedwenian Secret Service,Extant,Kaedwen,Kaedwen,['Secret service'],['Spying'],,['Mansfeld'],,['Ard Carraigh'],['Time of Contempt'],['The Witcher 2: Assassins of Kings']
Order of the Flaming Rose,Order of the Flaming Rose,Temporarily disbanded by,Northern Kingdoms,,['Military religious order'],['Defend humans from evil'],['Jacques de Aldersberg'],['Holy Congregation headed by Grandmaster'],"['Siegfried of Denesle', 'Roderick de Wett']","['Cloister in Vizima', 'Castle Barienmurg']",,"['The Witcher', 'The Witcher 2: Assassins of Kings', 'The Witcher 3: Wild Hunt', 'Hearts of Stone expansion Blood and Wine expansion']"
Shani's Clinic,Shani's Clinic,,,Redania,['Building'],,,,,,,['Hearts of Stone expansion']
Lodge of Sorceresses,Lodge of Sorceresses,Extinct,Continent,,['Mage organization'],['To serve matters of magic outside politics'],"['Philippa Eilhart','Margarita Laux-Antille','Triss Merigold','Keira Metz','Sabrina Glevissig','Sheala de Tancarville','Francesca Findabair','Assire var Anahid']",['Philippa Eilhart'],"['Philippa Eilhart','Margarita Laux-Antille','Triss Merigold','Keira Metz','Sabrina Glevissig','Sheala de Tancarville','Francesca Findabair','Assire var Anahid', 'Fringilla Vigo', 'Ida Emean aep Sivney', 'Yennefer of Vengerberg']",['Montecalvo'],"['Baptism of Fire', 'The Tower of the Swallow', 'The Lady of the Lake']","['The Witcher 2: Assassins of Kings', 'The Witcher 3: Wild Hunt', 'Gwent: The Witcher Card Game']"
Oxenfurt Academy,Oxenfurt Academy,,,Redania,['School'],,,,,,"['The Last Wish', 'Blood of Elves', 'Baptism of Fire']","['The Witcher 3: Wild Hunt', 'Hearts of Stone expansion']"
Big Four,Big Four,,,Redania,['Criminal organization'],['Control over Novigrad'],,"['Carlo Varese', 'Sigi Reuven', 'Cyprian Wiley', 'Francis Bedlam']",,,,['The Witcher 3: Wild Hunt']
Nilfgaardian Secret Service,Nilfgaardian Military Intelligence,,Nilfgaardian Empire,Nilfgaardian Empire,['Secret Service'],['Spying'],,['Vattier de Rideaux'],,,,
School of the Cat,School of the Cat,Unknown,Continent,Kaedwen,['Witcher school'],,"['Gezras']","['Treyse', 'Guxart']","['Brehen', 'Gaetan', 'Jad Karadin', 'Kiyan']",['Dyn Marv Caravan Stygga Citadel'],"['The Lady of the Lake', 'Season of Storms']","['The Witcher 3: Wild Hunt', 'Thronebreaker: The Witcher Tales', 'Gwent: The Witcher Card Game']"
University of Oxenfurt,Oxenfurt Academy,,,Redania,['School'],,,,,,"['The Last Wish', 'Blood of Elves', 'Baptism of Fire']","['The Witcher 3: Wild Hunt', 'Hearts of Stone expansion']"
Brotherhood of Sorcerers,Brotherhood of Sorcerers,Extinct (,Northern Kingdoms,,['Mage organization'],['Sets rules and regulations for all magic in the Northern Kingdoms'],"['Jan Bekker', 'Giambattista', 'Geoffrey Monck']","['Chapter of the Gift and the Art', 'Council of Wizards']",,"['Thanedd Island', 'Mirthe']","['Blood of Elves', 'Time of Contempt', 'Baptism of Fire']",
Council of Wizards,Council of Wizards,Extinct,,,['Inner circle of mages'],"['To focus on magical experiments, research, and expanding magical knowledge.']",,,,['Thanedd Island'],"['Blood of Elves', 'Time of Contempt', 'Baptism of Fire']",
Nilfgaardian Military Intelligence,Nilfgaardian Military Intelligence,,Nilfgaardian Empire,Nilfgaardian Empire,['Secret Service'],['Spying'],,['Vattier de Rideaux'],,,,
Mahakam Volunteer Army,Mahakam Volunteer Army,,,Mahakam,,,,['Barclay Els'],,,['The Lady of the Lake'],['Gwent: The Witcher Card Game']
School of the Griffin,School of the Griffin,Disbanded (?),Continent,,['Witcher school'],,['Erland of Larvik'],['Old Keldar ?'],"['Coën', 'George', 'Jerome', 'Raven']",['Kaer Seren'],['The Lady of the Lake'],"['The Witcher 3: Wild Hunt', 'Thronebreaker: The Witcher Tales', 'Gwent: The Witcher Card Game']"
Geralt's company,Geralt's company,Dissolved,,,['rag-tag company'],['to rescue Ciri'],,['Geralt of Rivia'],"['Dandelion', 'Milva', 'Regis', 'Cahir', 'Angoulême']",,"['Baptism of Fire', 'The Tower of the Swallow']",
Rissberg,Rissberg,,,Temeria,['Castle'],,,,,,['Season of Storms'],
Ban Ard Academy,Ban Ard Academy,,,Kaedwen,['Magical university'],,,,,,"['Time of Contempt', 'Baptism of Fire', 'Season of Storms', 'Crossroads of Ravens']","['Wiedźmin: Gra Wyobraźni', 'The Witcher', 'The Witcher 2: Assassins of Kings', 'The Witcher 3: Wild Hunt', 'The Witcher Role-Playing Game']"
Yarpen Zigrin's company,Yarpen Zigrin's company,,,Mahakam,['Mercenary group'],,,['Yarpen Zigrin'],,,"['Sword of Destiny', 'Blood of Elves']",
Sigismund's Bathhouse,Sigismund's Bathhouse,,,Novigrad,['Bathhouse'],,,,,,,['The Witcher 3: Wild Hunt']
Aedirnian Special Service,Aedirnian Special Service,Extant,Aedirn,Aedirn,['Secret service'],['Spying'],,,,['Old Citadel of Aldersberg'],['Time of Contempt'],
Aedirnian Special Forces,Aedirnian Special Forces,,,Aedirn,,,['Demavend III'],['Rayla'],,,"['Blood of Elves', 'Time of Contempt']",['Thronebreaker: The Witcher Tales']
School of the Wolf,School of the Wolf,Extinct,Continent,,['Witcher school'],,,"['Byrnjolf', 'Deglan', 'Vesemir', 'Eskel']","['Geralt of Rivia', 'Eskel', 'Lambert']",['Kaer Morhen'],"['The Last Wish', 'Blood of Elves']","['The Witcher', 'The Witcher 3: Wild Hunt']"
